New York Rangers,Philadelphia Flyers,246
New York Rangers,Pittsburgh Penguins,184
New York Rangers,New York Islanders,177
New York Rangers,New Jersey Devils,171
New York Rangers,Washington Capitals,156
New York Rangers,Boston Bruins,153
New York Rangers,Montreal Canadiens,136
New York Rangers,Toronto Maple Leafs,117
New York Rangers,Chicago Blackhawks,98
New York Rangers,Detroit Red Wings,93
San Jose Sharks,Anaheim Ducks,108
San Jose Sharks,Los Angeles Kings,94
San Jose Sharks,Vancouver Canucks,81
San Jose Sharks,Edmonton Oilers,75
San Jose Sharks,Chicago Blackhawks,70
San Jose Sharks,Calgary Flames,59
San Jose Sharks,Dallas Stars,58
San Jose Sharks,Arizona Coyotes,56
San Jose Sharks,St Louis Blues,55
San Jose Sharks,Columbus Blue Jackets,40
Philadelphia Flyers,New York Rangers,246
Philadelphia Flyers,Washington Capitals,234
Philadelphia Flyers,Pittsburgh Penguins,230
Philadelphia Flyers,New York Islanders,229
Philadelphia Flyers,New Jersey Devils,181
Philadelphia Flyers,Boston Bruins,169
Philadelphia Flyers,Toronto Maple Leafs,146
Philadelphia Flyers,Los Angeles Kings,130
Philadelphia Flyers,Buffalo Sabres,119
Philadelphia Flyers,Montreal Canadiens,118
Ottawa Senators,Montreal Canadiens,84
Ottawa Senators,Boston Bruins,82
Ottawa Senators,Toronto Maple Leafs,75
Ottawa Senators,Buffalo Sabres,73
Ottawa Senators,Florida Panthers,70
Ottawa Senators,Philadelphia Flyers,65
Ottawa Senators,Tampa Bay Lightning,63
Ottawa Senators,Pittsburgh Penguins,50
Ottawa Senators,New York Islanders,45
Ottawa Senators,Washington Capitals,44
New York Islanders,Philadelphia Flyers,232
New York Islanders,New York Rangers,181
New York Islanders,Pittsburgh Penguins,171
New York Islanders,New Jersey Devils,158
New York Islanders,Washington Capitals,131
New York Islanders,Buffalo Sabres,102
New York Islanders,Boston Bruins,97
New York Islanders,Toronto Maple Leafs,92
New York Islanders,Vancouver Canucks,80
New York Islanders,Detroit Red Wings,75
New Jersey Devils,Philadelphia Flyers,180
New Jersey Devils,New York Rangers,169
New Jersey Devils,New York Islanders,160
New Jersey Devils,Washington Capitals,123
New Jersey Devils,Pittsburgh Penguins,117
New Jersey Devils,Boston Bruins,84
New Jersey Devils,Buffalo Sabres,78
New Jersey Devils,Toronto Maple Leafs,71
New Jersey Devils,Tampa Bay Lightning,64
New Jersey Devils,Chicago Blackhawks,56
Nashville Predators,Chicago Blackhawks,59
Nashville Predators,Columbus Blue Jackets,53
Nashville Predators,Anaheim Ducks,49
Nashville Predators,St Louis Blues,48
Nashville Predators,Calgary Flames,45
Nashville Predators,Dallas Stars,43
Nashville Predators,Vancouver Canucks,43
Nashville Predators,San Jose Sharks,40
Nashville Predators,Minnesota Wild,38
Nashville Predators,Colorado Avalanche,37
Montreal Canadiens,Boston Bruins,302
Montreal Canadiens,Buffalo Sabres,166
Montreal Canadiens,Toronto Maple Leafs,141
Montreal Canadiens,New York Rangers,136
Montreal Canadiens,Philadelphia Flyers,115
Montreal Canadiens,Chicago Blackhawks,109
Montreal Canadiens,Quebec Nordiques,108
Montreal Canadiens,Hartford Whalers,107
Montreal Canadiens,Ottawa Senators,84
Montreal Canadiens,Vancouver Canucks,83
Minnesota Wild,Vancouver Canucks,65
Minnesota Wild,Calgary Flames,53
Minnesota Wild,Edmonton Oilers,46
Minnesota Wild,Colorado Avalanche,43
Minnesota Wild,Anaheim Ducks,38
Minnesota Wild,Nashville Predators,38
Minnesota Wild,St Louis Blues,37
Minnesota Wild,Columbus Blue Jackets,35
Minnesota Wild,Chicago Blackhawks,29
Minnesota Wild,Dallas Stars,27
Los Angeles Kings,Vancouver Canucks,215
Los Angeles Kings,Edmonton Oilers,182
Los Angeles Kings,Calgary Flames,171
Los Angeles Kings,Chicago Blackhawks,137
Los Angeles Kings,Philadelphia Flyers,129
Los Angeles Kings,St Louis Blues,128
Los Angeles Kings,Anaheim Ducks,110
Los Angeles Kings,Toronto Maple Leafs,99
Los Angeles Kings,Detroit Red Wings,98
Los Angeles Kings,San Jose Sharks,90
Florida Panthers,Tampa Bay Lightning,99
Florida Panthers,Philadelphia Flyers,81
Florida Panthers,Boston Bruins,75
Florida Panthers,Ottawa Senators,69
Florida Panthers,New York Islanders,65
Florida Panthers,Buffalo Sabres,63
Florida Panthers,Montreal Canadiens,56
Florida Panthers,New York Rangers,50
Florida Panthers,Washington Capitals,47
Florida Panthers,New Jersey Devils,47
Edmonton Oilers,Calgary Flames,264
Edmonton Oilers,Los Angeles Kings,183
Edmonton Oilers,Vancouver Canucks,180
Edmonton Oilers,Winnipeg Jets,91
Edmonton Oilers,St Louis Blues,91
Edmonton Oilers,Chicago Blackhawks,85
Edmonton Oilers,San Jose Sharks,76
Edmonton Oilers,Detroit Red Wings,72
Edmonton Oilers,Colorado Avalanche,70
Edmonton Oilers,Boston Bruins,68
Detroit Red Wings,Toronto Maple Leafs,243
Detroit Red Wings,Chicago Blackhawks,241
Detroit Red Wings,St Louis Blues,205
Detroit Red Wings,Minnesota North Stars,136
Detroit Red Wings,Boston Bruins,114
Detroit Red Wings,Philadelphia Flyers,105
Detroit Red Wings,New York Rangers,98
Detroit Red Wings,Los Angeles Kings,97
Detroit Red Wings,Vancouver Canucks,84
Detroit Red Wings,Calgary Flames,82
Dallas Stars,St Louis Blues,88
Dallas Stars,Anaheim Ducks,83
Dallas Stars,Chicago Blackhawks,73
Dallas Stars,Los Angeles Kings,70
Dallas Stars,Edmonton Oilers,65
Dallas Stars,Arizona Coyotes,61
Dallas Stars,San Jose Sharks,57
Dallas Stars,Calgary Flames,46
Dallas Stars,Colorado Avalanche,46
Dallas Stars,Nashville Predators,43
Columbus Blue Jackets,St Louis Blues,70
Columbus Blue Jackets,Calgary Flames,53
Columbus Blue Jackets,Nashville Predators,53
Columbus Blue Jackets,Chicago Blackhawks,53
Columbus Blue Jackets,Colorado Avalanche,44
Columbus Blue Jackets,Anaheim Ducks,43
Columbus Blue Jackets,San Jose Sharks,40
Columbus Blue Jackets,Arizona Coyotes,39
Columbus Blue Jackets,Minnesota Wild,36
Columbus Blue Jackets,Edmonton Oilers,34
Colorado Avalanche,Vancouver Canucks,81
Colorado Avalanche,Edmonton Oilers,70
Colorado Avalanche,Calgary Flames,69
Colorado Avalanche,St Louis Blues,66
Colorado Avalanche,Anaheim Ducks,61
Colorado Avalanche,Los Angeles Kings,59
Colorado Avalanche,Chicago Blackhawks,53
Colorado Avalanche,Dallas Stars,47
Colorado Avalanche,Columbus Blue Jackets,44
Colorado Avalanche,Minnesota Wild,43
Chicago Blackhawks,St Louis Blues,286
Chicago Blackhawks,Detroit Red Wings,237
Chicago Blackhawks,Toronto Maple Leafs,216
Chicago Blackhawks,Minnesota North Stars,150
Chicago Blackhawks,Vancouver Canucks,144
Chicago Blackhawks,Los Angeles Kings,144
Chicago Blackhawks,Boston Bruins,119
Chicago Blackhawks,Montreal Canadiens,107
Chicago Blackhawks,New York Rangers,100
Chicago Blackhawks,Philadelphia Flyers,97
Carolina Hurricanes,Florida Panthers,39
Carolina Hurricanes,Washington Capitals,36
Carolina Hurricanes,New Jersey Devils,34
Carolina Hurricanes,Boston Bruins,34
Carolina Hurricanes,Ottawa Senators,33
Carolina Hurricanes,Philadelphia Flyers,31
Carolina Hurricanes,Pittsburgh Penguins,30
Carolina Hurricanes,New York Rangers,29
Carolina Hurricanes,Tampa Bay Lightning,28
Carolina Hurricanes,Toronto Maple Leafs,26
Calgary Flames,Edmonton Oilers,265
Calgary Flames,Vancouver Canucks,216
Calgary Flames,Los Angeles Kings,171
Calgary Flames,Anaheim Ducks,108
Calgary Flames,St Louis Blues,105
Calgary Flames,Winnipeg Jets,105
Calgary Flames,Chicago Blackhawks,84
Calgary Flames,Detroit Red Wings,83
Calgary Flames,Toronto Maple Leafs,69
Calgary Flames,Colorado Avalanche,67
Buffalo Sabres,Boston Bruins,234
Buffalo Sabres,Montreal Canadiens,166
Buffalo Sabres,Toronto Maple Leafs,122
Buffalo Sabres,Quebec Nordiques,121
Buffalo Sabres,Philadelphia Flyers,119
Buffalo Sabres,Hartford Whalers,103
Buffalo Sabres,New York Islanders,101
Buffalo Sabres,Pittsburgh Penguins,89
Buffalo Sabres,New York Rangers,82
Buffalo Sabres,New Jersey Devils,79
Boston Bruins,Montreal Canadiens,302
Boston Bruins,Buffalo Sabres,236
Boston Bruins,Toronto Maple Leafs,185
Boston Bruins,Philadelphia Flyers,168
Boston Bruins,New York Rangers,152
Boston Bruins,Hartford Whalers,142
Boston Bruins,Quebec Nordiques,141
Boston Bruins,Pittsburgh Penguins,126
Boston Bruins,Chicago Blackhawks,122
Boston Bruins,Detroit Red Wings,115
Arizona Coyotes,Anaheim Ducks,75
Arizona Coyotes,Dallas Stars,61
Arizona Coyotes,Los Angeles Kings,60
Arizona Coyotes,San Jose Sharks,57
Arizona Coyotes,Calgary Flames,51
Arizona Coyotes,St Louis Blues,48
Arizona Coyotes,Chicago Blackhawks,46
Arizona Coyotes,Vancouver Canucks,45
Arizona Coyotes,Edmonton Oilers,43
Arizona Coyotes,Colorado Avalanche,43
Anaheim Ducks,Los Angeles Kings,110
Anaheim Ducks,Calgary Flames,108
Anaheim Ducks,San Jose Sharks,107
Anaheim Ducks,Dallas Stars,83
Anaheim Ducks,Chicago Blackhawks,81
Anaheim Ducks,Arizona Coyotes,75
Anaheim Ducks,St Louis Blues,72
Anaheim Ducks,Vancouver Canucks,62
Anaheim Ducks,Colorado Avalanche,61
Anaheim Ducks,Edmonton Oilers,59
Winnipeg Jets,Colorado Avalanche,18
Winnipeg Jets,Minnesota Wild,15
Winnipeg Jets,Nashville Predators,14
Winnipeg Jets,Boston Bruins,14
Winnipeg Jets,Dallas Stars,13
Winnipeg Jets,Tampa Bay Lightning,13
Winnipeg Jets,Pittsburgh Penguins,12
Winnipeg Jets,Toronto Maple Leafs,11
Winnipeg Jets,Ottawa Senators,11
Winnipeg Jets,Edmonton Oilers,10
Vegas Golden Knights,Anaheim Ducks,8
Vegas Golden Knights,Colorado Avalanche,6
Vegas Golden Knights,Nashville Predators,5
Vegas Golden Knights,San Jose Sharks,4
Vegas Golden Knights,New York Islanders,3
Vegas Golden Knights,Winnipeg Jets,3
Vegas Golden Knights,Minnesota Wild,3
Vegas Golden Knights,St Louis Blues,3
Vegas Golden Knights,Vancouver Canucks,3
Vegas Golden Knights,Ottawa Senators,3
Vancouver Canucks,Calgary Flames,214
Vancouver Canucks,Los Angeles Kings,212
Vancouver Canucks,Edmonton Oilers,179
Vancouver Canucks,Chicago Blackhawks,146
Vancouver Canucks,Winnipeg Jets,139
Vancouver Canucks,St Louis Blues,119
Vancouver Canucks,Toronto Maple Leafs,105
Vancouver Canucks,Philadelphia Flyers,93
Vancouver Canucks,Detroit Red Wings,86
Vancouver Canucks,Montreal Canadiens,82
Toronto Maple Leafs,Detroit Red Wings,244
Toronto Maple Leafs,Chicago Blackhawks,210
Toronto Maple Leafs,Boston Bruins,184
Toronto Maple Leafs,St Louis Blues,172
Toronto Maple Leafs,Philadelphia Flyers,143
Toronto Maple Leafs,Montreal Canadiens,140
Toronto Maple Leafs,Minnesota North Stars,124
Toronto Maple Leafs,Buffalo Sabres,124
Toronto Maple Leafs,Pittsburgh Penguins,119
Toronto Maple Leafs,New York Rangers,119
Tampa Bay Lightning,Florida Panthers,100
Tampa Bay Lightning,New York Islanders,66
Tampa Bay Lightning,Ottawa Senators,65
Tampa Bay Lightning,New Jersey Devils,64
Tampa Bay Lightning,Philadelphia Flyers,63
Tampa Bay Lightning,New York Rangers,61
Tampa Bay Lightning,Boston Bruins,59
Tampa Bay Lightning,Washington Capitals,57
Tampa Bay Lightning,Montreal Canadiens,52
Tampa Bay Lightning,Pittsburgh Penguins,49
St Louis Blues,Chicago Blackhawks,285
St Louis Blues,Detroit Red Wings,206
St Louis Blues,Toronto Maple Leafs,170
St Louis Blues,Los Angeles Kings,128
St Louis Blues,Vancouver Canucks,119
St Louis Blues,Philadelphia Flyers,114
St Louis Blues,Minnesota North Stars,113
St Louis Blues,Calgary Flames,107
St Louis Blues,Boston Bruins,95
St Louis Blues,Edmonton Oilers,94
Washington Capitals,Philadelphia Flyers,230
Washington Capitals,Pittsburgh Penguins,158
Washington Capitals,New York Rangers,158
Washington Capitals,New York Islanders,130
Washington Capitals,New Jersey Devils,121
Washington Capitals,Boston Bruins,111
Washington Capitals,Detroit Red Wings,80
Washington Capitals,Toronto Maple Leafs,79
Washington Capitals,Montreal Canadiens,78
Washington Capitals,Buffalo Sabres,66
Seattle Kraken,Vancouver Canucks,5
Seattle Kraken,Anaheim Ducks,3
Seattle Kraken,New Jersey Devils,3
Seattle Kraken,Vegas Golden Knights,3
Seattle Kraken,San Jose Sharks,2
Seattle Kraken,Calgary Flames,2
Seattle Kraken,Philadelphia Flyers,2
Seattle Kraken,Los Angeles Kings,2
Seattle Kraken,Chicago Blackhawks,2
Seattle Kraken,Edmonton Oilers,2
Pittsburgh Penguins,Philadelphia Flyers,231
Pittsburgh Penguins,New York Rangers,182
Pittsburgh Penguins,New York Islanders,169
Pittsburgh Penguins,Washington Capitals,161
Pittsburgh Penguins,Boston Bruins,121
Pittsburgh Penguins,New Jersey Devils,116
Pittsburgh Penguins,Toronto Maple Leafs,114
Pittsburgh Penguins,Buffalo Sabres,92
Pittsburgh Penguins,St Louis Blues,79
Pittsburgh Penguins,Vancouver Canucks,78
Chicago Wolves,Rockford IceHogs,120
Chicago Wolves,Milwaukee Admirals,115
Chicago Wolves,San Antonio Rampage,78
Chicago Wolves,Grand Rapids Griffins,75
Chicago Wolves,Houston Aeros,58
Chicago Wolves,Peoria Rivermen,54
Chicago Wolves,Iowa Wild,50
Chicago Wolves,Cleveland Monsters,41
Chicago Wolves,Hamilton Bulldogs,25
Chicago Wolves,Iowa Chops,22
Grand Rapids Griffins,Milwaukee Admirals,88
Grand Rapids Griffins,Cleveland Monsters,76
Grand Rapids Griffins,Chicago Wolves,74
Grand Rapids Griffins,Rockford IceHogs,67
Grand Rapids Griffins,Hamilton Bulldogs,59
Grand Rapids Griffins,Houston Aeros,51
Grand Rapids Griffins,Rochester Americans,49
Grand Rapids Griffins,Manitoba Moose,43
Grand Rapids Griffins,Toronto Marlies,42
Grand Rapids Griffins,San Antonio Rampage,37
Hartford Wolf Pack,Providence Bruins,193
Hartford Wolf Pack,Springfield Falcons,171
Hartford Wolf Pack,Bridgeport Sound Tigers,166
Hartford Wolf Pack,Manchester Monarchs,104
Hartford Wolf Pack,Portland Pirates,92
Hartford Wolf Pack,Lehigh Valley Phantoms,65
Hartford Wolf Pack,Norfolk Admirals,56
Hartford Wolf Pack,Worcester Sharks,50
Hartford Wolf Pack,Wilkes-Barre Scranton Penguins,49
Hartford Wolf Pack,Hershey Bears,46
Hershey Bears,Wilkes-Barre Scranton Penguins,184
Hershey Bears,Lehigh Valley Phantoms,180
Hershey Bears,Binghamton Senators,124
Hershey Bears,Norfolk Admirals,121
Hershey Bears,Syracuse Crunch,77
Hershey Bears,Bridgeport Sound Tigers,73
Hershey Bears,Albany River Rats,65
Hershey Bears,Hartford Wolf Pack,45
Hershey Bears,Providence Bruins,42
Hershey Bears,Rochester Americans,40
Milwaukee Admirals,Chicago Wolves,113
Milwaukee Admirals,Rockford IceHogs,113
Milwaukee Admirals,Grand Rapids Griffins,86
Milwaukee Admirals,Houston Aeros,65
Milwaukee Admirals,San Antonio Rampage,60
Milwaukee Admirals,Cleveland Monsters,56
Milwaukee Admirals,Iowa Wild,45
Milwaukee Admirals,Peoria Rivermen,44
Milwaukee Admirals,Manitoba Moose,33
Milwaukee Admirals,Utah Grizzlies,32
Lehigh Valley Phantoms,Hershey Bears,182
Lehigh Valley Phantoms,Wilkes-Barre Scranton Penguins,163
Lehigh Valley Phantoms,Norfolk Admirals,126
Lehigh Valley Phantoms,Binghamton Senators,116
Lehigh Valley Phantoms,Bridgeport Sound Tigers,85
Lehigh Valley Phantoms,Albany River Rats,67
Lehigh Valley Phantoms,Hartford Wolf Pack,66
Lehigh Valley Phantoms,Syracuse Crunch,57
Lehigh Valley Phantoms,Albany Devils,56
Lehigh Valley Phantoms,Manchester Monarchs,31
Providence Bruins,Hartford Wolf Pack,190
Providence Bruins,Portland Pirates,154
Providence Bruins,Springfield Falcons,132
Providence Bruins,Bridgeport Sound Tigers,109
Providence Bruins,Manchester Monarchs,108
Providence Bruins,Worcester Sharks,95
Providence Bruins,Wilkes-Barre Scranton Penguins,45
Providence Bruins,Hershey Bears,42
Providence Bruins,Lowell Lock Monsters,41
Providence Bruins,Norfolk Admirals,36
Rochester Americans,Syracuse Crunch,209
Rochester Americans,Binghamton Senators,107
Rochester Americans,Hamilton Bulldogs,96
Rochester Americans,Toronto Marlies,74
Rochester Americans,Manitoba Moose,59
Rochester Americans,Grand Rapids Griffins,50
Rochester Americans,Cleveland Monsters,45
Rochester Americans,Hershey Bears,39
Rochester Americans,Utica Comets,31
Rochester Americans,Albany River Rats,31
Syracuse Crunch,Rochester Americans,209
Syracuse Crunch,Binghamton Senators,152
Syracuse Crunch,Wilkes-Barre Scranton Penguins,128
Syracuse Crunch,Albany River Rats,77
Syracuse Crunch,Hershey Bears,76
Syracuse Crunch,Hamilton Bulldogs,63
Syracuse Crunch,Albany Devils,60
Syracuse Crunch,Lehigh Valley Phantoms,59
Syracuse Crunch,Toronto Marlies,58
Syracuse Crunch,Utica Comets,53
Wilkes-Barre Scranton Penguins,Hershey Bears,184
Wilkes-Barre Scranton Penguins,Lehigh Valley Phantoms,161
Wilkes-Barre Scranton Penguins,Norfolk Admirals,156
Wilkes-Barre Scranton Penguins,Syracuse Crunch,127
Wilkes-Barre Scranton Penguins,Binghamton Senators,122
Wilkes-Barre Scranton Penguins,Bridgeport Sound Tigers,83
Wilkes-Barre Scranton Penguins,Hartford Wolf Pack,49
Wilkes-Barre Scranton Penguins,Providence Bruins,45
Wilkes-Barre Scranton Penguins,Albany River Rats,44
Wilkes-Barre Scranton Penguins,Portland Pirates,40
Toronto Marlies,Hamilton Bulldogs,103
Toronto Marlies,Rochester Americans,73
Toronto Marlies,Syracuse Crunch,61
Toronto Marlies,Cleveland Monsters,57
Toronto Marlies,Manitoba Moose,49
Toronto Marlies,Grand Rapids Griffins,42
Toronto Marlies,Abbotsford Heat,32
Toronto Marlies,Binghamton Senators,26
Toronto Marlies,Hartford Wolf Pack,24
Toronto Marlies,St. John's IceCaps,19
Rockford IceHogs,Chicago Wolves,122
Rockford IceHogs,Milwaukee Admirals,113
Rockford IceHogs,Peoria Rivermen,77
Rockford IceHogs,Grand Rapids Griffins,68
Rockford IceHogs,Iowa Wild,56
Rockford IceHogs,San Antonio Rampage,46
Rockford IceHogs,Cleveland Monsters,43
Rockford IceHogs,Texas Stars,38
Rockford IceHogs,Houston Aeros,31
Rockford IceHogs,Quad City Flames,27
Cleveland Monsters,Grand Rapids Griffins,77
Cleveland Monsters,Hamilton Bulldogs,64
Cleveland Monsters,Toronto Marlies,57
Cleveland Monsters,Milwaukee Admirals,56
Cleveland Monsters,Rochester Americans,45
Cleveland Monsters,Rockford IceHogs,43
Cleveland Monsters,Chicago Wolves,41
Cleveland Monsters,San Antonio Rampage,33
Cleveland Monsters,Syracuse Crunch,30
Cleveland Monsters,Charlotte Checkers,28
Texas Stars,San Antonio Rampage,77
Texas Stars,Rockford IceHogs,37
Texas Stars,Houston Aeros,34
Texas Stars,Oklahoma City Barons,33
Texas Stars,Milwaukee Admirals,28
Texas Stars,Grand Rapids Griffins,25
Texas Stars,Abbotsford Heat,23
Texas Stars,Peoria Rivermen,22
Texas Stars,Cleveland Monsters,22
Texas Stars,Chicago Wolves,20
Charlotte Checkers,Norfolk Admirals,43
Charlotte Checkers,Milwaukee Admirals,31
Charlotte Checkers,Iowa Wild,30
Charlotte Checkers,Cleveland Monsters,29
Charlotte Checkers,Oklahoma City Barons,28
Charlotte Checkers,Rockford IceHogs,24
Charlotte Checkers,San Antonio Rampage,21
Charlotte Checkers,Chicago Wolves,19
Charlotte Checkers,Hartford Wolf Pack,18
Charlotte Checkers,Hershey Bears,17
Iowa Wild,Rockford IceHogs,56
Iowa Wild,Chicago Wolves,52
Iowa Wild,Milwaukee Admirals,46
Iowa Wild,Charlotte Checkers,31
Iowa Wild,Grand Rapids Griffins,27
Iowa Wild,Manitoba Moose,27
Iowa Wild,Cleveland Monsters,17
Iowa Wild,Texas Stars,17
Iowa Wild,Tucson Roadrunners,11
Iowa Wild,San Antonio Rampage,9
Bakersfield Condors,Ontario Reign,29
Bakersfield Condors,San Diego Gulls,25
Bakersfield Condors,San Jose Barracuda,24
Bakersfield Condors,Stockton Heat,19
Bakersfield Condors,Colorado Eagles,10
Bakersfield Condors,Manitoba Moose,9
Bakersfield Condors,Texas Stars,8
Bakersfield Condors,Tucson Roadrunners,8
Bakersfield Condors,Iowa Wild,6
Bakersfield Condors,Henderson Silver Knights,6
Ontario Reign,San Diego Gulls,60
Ontario Reign,Stockton Heat,39
Ontario Reign,Bakersfield Condors,29
Ontario Reign,Tucson Roadrunners,25
Ontario Reign,San Jose Barracuda,23
Ontario Reign,Colorado Eagles,14
Ontario Reign,Charlotte Checkers,13
Ontario Reign,San Antonio Rampage,9
Ontario Reign,Henderson Silver Knights,7
Ontario Reign,Texas Stars,6
San Diego Gulls,Ontario Reign,60
San Diego Gulls,San Jose Barracuda,39
San Diego Gulls,Stockton Heat,27
San Diego Gulls,Bakersfield Condors,26
San Diego Gulls,Tucson Roadrunners,24
San Diego Gulls,Colorado Eagles,13
San Diego Gulls,Abbotsford Canucks,9
San Diego Gulls,Texas Stars,9
San Diego Gulls,Henderson Silver Knights,8
San Diego Gulls,Manitoba Moose,8
San Jose Barracuda,Stockton Heat,45
San Jose Barracuda,San Diego Gulls,39
San Jose Barracuda,Bakersfield Condors,24
San Jose Barracuda,Tucson Roadrunners,23
San Jose Barracuda,Ontario Reign,22
San Jose Barracuda,Henderson Silver Knights,15
San Jose Barracuda,Texas Stars,10
San Jose Barracuda,Colorado Eagles,9
San Jose Barracuda,Iowa Wild,8
San Jose Barracuda,Abbotsford Canucks,5
Manitoba Moose,Milwaukee Admirals,27
Manitoba Moose,Iowa Wild,26
Manitoba Moose,Rockford IceHogs,22
Manitoba Moose,Cleveland Monsters,21
Manitoba Moose,Grand Rapids Griffins,20
Manitoba Moose,Chicago Wolves,16
Manitoba Moose,San Antonio Rampage,15
Manitoba Moose,Texas Stars,12
Manitoba Moose,Belleville Senators,10
Manitoba Moose,Charlotte Checkers,9
Tucson Roadrunners,Ontario Reign,25
Tucson Roadrunners,San Diego Gulls,24
Tucson Roadrunners,San Jose Barracuda,23
Tucson Roadrunners,Colorado Eagles,20
Tucson Roadrunners,Stockton Heat,15
Tucson Roadrunners,Texas Stars,11
Tucson Roadrunners,Iowa Wild,11
Tucson Roadrunners,Bakersfield Condors,8
Tucson Roadrunners,Coachella Valley Firebirds,6
Tucson Roadrunners,Henderson Silver Knights,5
Springfield Thunderbirds,Bridgeport Sound Tigers,33
Springfield Thunderbirds,Providence Bruins,33
Springfield Thunderbirds,Hartford Wolf Pack,22
Springfield Thunderbirds,Lehigh Valley Phantoms,15
Springfield Thunderbirds,Charlotte Checkers,12
Springfield Thunderbirds,Wilkes-Barre Scranton Penguins,9
Springfield Thunderbirds,Bridgeport Islanders,8
Springfield Thunderbirds,Hershey Bears,8
Springfield Thunderbirds,Utica Comets,6
Springfield Thunderbirds,Binghamton Devils,5
Belleville Senators,Laval Rocket,24
Belleville Senators,Toronto Marlies,18
Belleville Senators,Syracuse Crunch,14
Belleville Senators,Utica Comets,12
Belleville Senators,Manitoba Moose,9
Belleville Senators,Binghamton Devils,8
Belleville Senators,Rochester Americans,8
Belleville Senators,Cleveland Monsters,7
Belleville Senators,Providence Bruins,4
Belleville Senators,Hartford Wolf Pack,3
Laval Rocket,Belleville Senators,25
Laval Rocket,Toronto Marlies,17
Laval Rocket,Utica Comets,14
Laval Rocket,Syracuse Crunch,10
Laval Rocket,Rochester Americans,8
Laval Rocket,Manitoba Moose,8
Laval Rocket,Providence Bruins,6
Laval Rocket,Cleveland Monsters,6
Laval Rocket,Stockton Heat,5
Laval Rocket,Charlotte Checkers,5
Colorado Eagles,Tucson Roadrunners,20
Colorado Eagles,Ontario Reign,14
Colorado Eagles,San Diego Gulls,13
Colorado Eagles,Bakersfield Condors,10
Colorado Eagles,Stockton Heat,9
Colorado Eagles,San Jose Barracuda,9
Colorado Eagles,Milwaukee Admirals,7
Colorado Eagles,Henderson Silver Knights,7
Colorado Eagles,Texas Stars,5
Colorado Eagles,Iowa Wild,5
Utica Comets,Syracuse Crunch,51
Utica Comets,Rochester Americans,30
Utica Comets,Toronto Marlies,19
Utica Comets,Cleveland Monsters,18
Utica Comets,Binghamton Senators,16
Utica Comets,Albany Devils,15
Utica Comets,Laval Rocket,14
Utica Comets,Wilkes-Barre Scranton Penguins,14
Utica Comets,Belleville Senators,13
Utica Comets,Hartford Wolf Pack,12
Cincinnati Cyclones,Wheeling Nailers,96
